DATA,HISTÓRICO,TOTAL,TIPO DE,ORIGEM DO PGTO
1/1/2022,Salário João da Silva,$1,850.00,Pagamento,Dinheiro
1/2/2022,Salário Maria de Souza,$2,225.00,Pagamento,Dinheiro
1/3/2022,Aluguel Sala,$1,500.00,Recebimento,Brasil
1/3/2022,- Multa Atraso,$50.00,, 
1/4/2022,Telefone e Internet,$189.08,Recebimento,Brasil
1/4/2022,- Taxa de Conexão,$20.00,, 
1/4/2022,- Multa de Atendimento,$10.00,, 
1/5/2022,Materiais Obra,$593.70,Recebimento,CEF
1/5/2022,- Taxa de Entrega,$30.00,, 
1/5/2022,- Multa por Atraso,$25.00,, 
1/6/2022,FGTS,$520.00,Recebimento,Brasil
1/7/2022,INSS,$619.00,Recebimento,Brasil
1/8/2022,NF 1588 - Empresa,$58,912.50,Recebimento,CEF
1/8/2022,- Taxa de Processamento,$500.00,, 
1/8/2022,- Multa por Atraso na Entrega,$200.00,, 
1/9/2022,Serviços de Consultoria,$3,200.00,Recebimento,Banco X
1/9/2022,- Taxa de Administração,$150.00,, 
1/9/2022,- Multa por Atraso no Pagamento,$100.00,, 
1/10/2022,Venda de Equipamentos,$7,850.00,Recebimento,Dinheiro
1/10/2022,- Taxa de Venda,$200.00,, 
1/10/2022,- Multa por Cancelamento,$50.00,, 
1/11/2022,Compras de Materiais,$750.00,Pagamento,CEF
1/11/2022,- Taxa de Compra,$30.00,, 
1/11/2022,- Multa por Pagamento Atrasado,$20.00,, 
1/12/2022,Pago Freelancers,$1,200.00,Pagamento,Banco X
1/12/2022,- Taxa de Transferência,$15.00,, 
1/12/2022,- Multa por Transferência Tardia,$25.00,, 
